
Ukrivljeni lok – Članice
2,Pešić David,007 - LK Ankaran,511/12,511/12,504/20,,504/25,475/20,524/25,3029/114
3,Berden Aleks,075 - Društvo Šentlok,515/20,516/15,496/15,529/25,470/*12,474/15,468/15,2998/105
4,Murovec Jon Jonatan,014 - LK Gorica,308/8,463/10,463/11,,484/15,459/12,435/12,2612/68
5,Milharčič Andrej,006 - LK MINS Postojna,512/15,525/20,454/9,503/12,,,,1994/56
6,Malerič Jaka,066 - LK Paradoks,447/11,482/11,,512/15,,,,1441/37
7,Hribar Žan,005 - LK Kamnik,442/10,458/9,457/10,,,,,1357/29
8,Žagar Rožle,015 - LS Škofja Loka,404/9,407/7,,,,,,811/16
9,Koprivnikar Erik,002 - LK Maribor,,,495/12,,,,,495/12
10,Kavčič Jakob,007 - LK Ankaran,,419/8,,,,,,419/8
11,Tavčar Jakob,015 - LS Škofja Loka,,367/6,,,,,,367/6
12,Zahar Teo,007 - LK Ankaran,,280/5,,,,,,280/5

Ukrivljeni lok – Mlajše od 18 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Drešar Maja,007 - LK Ankaran,549/25,538/25,531/20,,540/20,533/25,532/12,3223/127
2,Vidmar Teja,067 - LK Budanje,534/15,532/15,513/11,,554/25,526/20,544/20,3203/106
3,Rojc Harper,007 - LK Ankaran,517/12,538/20,542/25,535/20,512/10,498/9,478/*8,3142/96
4,Ivančič Mojca,073 - TKD Sovica,473/*6,519/11,493/8,541/25,520/15,514/12,549/25,3136/96
5,Hojnik Tinkara,002 - LK Maribor,,521/12,515/12,485/15,495/9,498/7,534/15,3048/70
6,Marič Hema,028 - GLK Tržič,509/10,501/10,509/10,463/11,411/*4,440/4,489/10,2911/55
7,Ribič Zoja Ivana,005 - LK Kamnik,548/20,,523/15,,494/8,510/11,,2075/54
8,Škerlavaj Zarja,080 - LK Apolon,493/8,492/9,465/6,484/12,480/7,498/8,451/*6,2912/50
9,Malc Julija,006 - LK MINS Postojna,499/9,,470/7,,474/6,525/15,481/9,2449/46
10,Puc Vanesa,067 - LK Budanje,512/11,,,,513/11,503/10,493/11,2021/43
11,Lipovž Gregorič Tinca,014 - LK Gorica,,461/8,496/9,,404/3,477/6,460/7,2298/33
12,Taskov Kristina,014 - LK Gorica,365/5,457/7,434/5,,338/2,468/5,,2062/24
13,Grilič Mia,002 - LK Maribor,,,,,517/12,,,517/12
14,Grbec Sara Andrea,075 - Društvo Šentlok,,,,,447/5,408/3,,855/8
15,Smodiš Žana,005 - LK Kamnik,486/7,,,,,,,486/7
16,Obreza Zoja,080 - LK Apolon,,,,,,,393/5,393/5
17,Kocjančič Nika,007 - LK Ankaran,130/0,,,,,,,130/0

Ukrivljeni lok – Mlajši od 18 let
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Vrbec Samo,005 - LK Kamnik,577/25,582/25,585/25,,578/25,,560/25,2882/125
2,Švegel Žan,028 - GLK Tržič,511/20,430/*4,470/9,489/15,521/20,522/25,526/15,3039/104
3,Dukovčič Vito,066 - LK Paradoks,485/12,469/*7,502/11,506/25,504/12,511/20,530/20,3038/100
4,Grabrijan Štefanc Liam,066 - LK Paradoks,,482/10,519/12,501/20,514/15,487/11,,2503/68
